,links,names
0,https://www.youtube.com/watch?v=rfscVS0vtbw,"

Learn Python - Full Course for Beginners [Tutorial]
"
1,https://www.youtube.com/watch?v=_uQrJ0TkZlc,"

Python Tutorial - Python for Beginners [Full Course]
"
2,https://www.youtube.com/watch?v=gfDE2a7MKjA,"

Python Tutorial For Beginners In Hindi (With Notes) ðŸ”¥
"
3,https://www.youtube.com/watch?v=Z1Yd7upQsXY,"

Python Tutorial for Absolute Beginners #1 - What Are Variables?
"
4,https://www.youtube.com/watch?v=QXeEoD0pB3E,"

#0 Python Programming Tutorial for Beginners
"
5,https://www.youtube.com/watch?v=WGJJIrtnfpk,"

Python Full Course - Learn Python in 12 Hours | Python Tutorial For Beginners | Edureka
"
6,https://www.youtube.com/watch?v=pJ3IPRqiD2M,"

Python Course | Python Tutorial for Beginners | Intellipaat
"
7,https://www.youtube.com/watch?v=hEgO047GxaQ,"

#1 Python Tutorial for Beginners | Introduction to Python
"
8,https://www.youtube.com/watch?v=ZDa-Z5JzLYM,"

Python OOP Tutorial 1: Classes and Instances
"
9,https://www.youtube.com/watch?v=cpPG0bKHYKc,"

Python Beginner Tutorial 1 (For Absolute Beginners)
"
10,https://www.youtube.com/watch?v=F5mRW0jo-U4,"

Python Django Web Framework - Full Course for Beginners
"
11,https://www.youtube.com/watch?v=kqtD5dpn9C8,"

Python for Beginners - Learn Python in 1 Hour
"
12,https://www.youtube.com/watch?v=DWgzHbglNIo,"

#3 Python Tutorial for Beginners | Getting Started with Python
"
13,https://www.youtube.com/watch?v=4F2m91eKmts,"

Python Tutorial for Beginners - Full Course in 11 Hours [2020]
"
14,https://www.youtube.com/watch?v=Lp9Ftuq2sVI,"

Project 1: Iron Man Jarvis AI Desktop Voice Assistant | Python Tutorials For Absolute Beginners #120
"
15,https://www.youtube.com/watch?v=HBxCHonP6Ro,"

Python Programming Tutorial - 1 - Installing Python
"
16,https://www.youtube.com/watch?v=YYXdXT2l-Gg,"

Python Tutorial for Beginners 1: Install and Setup for Mac and Windows
"
17,https://www.youtube.com/watch?v=AWek49wXGzI,"

How to Use If Else Statements in Python (Python Tutorial #2)
"
18,https://www.youtube.com/watch?v=_V8eKsto3Ug,"

R Programming Tutorial - Learn the Basics of Statistical Computing
"
19,https://www.youtube.com/watch?v=TqPzwenhMj0,"

#4 Python Tutorial for Beginners | Variables in Python
"
20,https://www.youtube.com/watch?v=3vauM7axnRs,"

Java Project Tutorial - Make Login and Register Form Step by Step Using NetBeans And MySQL Database
"
21,https://www.youtube.com/watch?v=U8_8fTODn5g,"

Learn C language in 30 Minutes & Start Coding For Beginners in Hindi
"
22,https://www.youtube.com/watch?v=PkZNo7MFNFg,"

Learn JavaScript - Full Course for Beginners
"
23,https://www.youtube.com/watch?v=Z1Yd7upQsXY,"

Python Tutorial for Absolute Beginners #1 - What Are Variables?
"
24,https://www.youtube.com/watch?v=Hl-zzrqQoSE,"

Java Programming Tutorial - 1 - Installing the JDK
"
25,https://www.youtube.com/watch?v=3u1fu6f8Hto,"

Java Tutorial for Beginners - Made Easy - Step by Step
"
26,https://www.youtube.com/watch?v=-CpG3oATGIs,"

C Programming Tutorial | Learn C programming | C language
"
27,https://www.youtube.com/watch?v=W6NZfCO5SIk,"

JavaScript Tutorial for Beginners: Learn JavaScript in 1 Hour
"
28,https://www.youtube.com/watch?v=eSM_YkWeS7k,"

Java Project Tutorial - How To Design Login And Dashboard Form In Java Netbeans
"
29,https://www.youtube.com/watch?v=eIrMbAQSU34,"

Java Tutorial for Beginners [2020]
"
30,https://www.youtube.com/watch?v=KJgsSFOSQv0,"

C Programming Tutorial for Beginners
"
31,https://www.youtube.com/watch?v=WPvGqX-TXP0,"

Java Programming
"
32,https://www.youtube.com/watch?v=r59xYe3Vyks,"

Java Tutorial For Beginners 1 - Introduction and Installing the java (JDK) Step by Step Tutorial
"
33,https://www.youtube.com/watch?v=RBSGKlAvoiM,"

Data Structures Easy to Advanced Course - Full Tutorial from a Google Engineer
"
34,https://www.youtube.com/watch?v=eTXd89t8ngI,"

Core Java with OCJP/SCJP : Language Fundamentals Part-1 || Java Identifiers and Reserved Words
"
35,https://www.youtube.com/watch?v=5u8rFbpdvds,"

Java Programming Tutorial - 2 - Running a  Java Program
"
36,https://www.youtube.com/watch?v=grEKMHGYyns,"

Learn Java 8 - Full Tutorial for Beginners
"
37,https://www.youtube.com/watch?v=UI6lqHOVHic,"

UML Class Diagram Tutorial
"
38,https://www.youtube.com/watch?v=Qe026vn1tbc,"

Basic Concepts of Object Oriented Programming (HINDI)
"
39,https://www.youtube.com/watch?v=hBh_CC5y8-s,"

Java Full Course | Java Tutorial for Beginners | Java Online Training | Edureka
"
40,https://www.youtube.com/watch?v=vLnPwxZdW4Y,"

C++ Tutorial for Beginners - Full Course
"
41,https://www.youtube.com/watch?v=KJgsSFOSQv0,"

C Programming Tutorial for Beginners
"
42,https://www.youtube.com/watch?v=Rub-JsjMhWY,"

C++ Programming
"
43,https://www.youtube.com/watch?v=RBSGKlAvoiM,"

Data Structures Easy to Advanced Course - Full Tutorial from a Google Engineer
"
44,https://www.youtube.com/watch?v=tvC1WCdV1XU,"

Buckys C++ Programming Tutorials - 1 - Installing CodeBlocks
"
45,https://www.youtube.com/watch?v=gfkTfcpWqAY,"

C# Tutorial For Beginners - Learn C# Basics in 1 Hour
"
46,https://www.youtube.com/watch?v=mUQZ1qmKlLY,"

C++ Tutorial From Basic to Advance
"
47,https://www.youtube.com/watch?v=z9bZufPHFLU,"

1. Introduction to C++ | Data Structures and Algorithms | College Placement Course | Lecture 1
"
48,https://www.youtube.com/watch?v=pTB0EiLXUC8,"

Object-oriented Programming in 7 minutes | Mosh
"
49,https://www.youtube.com/watch?v=E_-lMZDi7Uw,"

C++ Tutorial 18 - Simple Snake Game (Part 1)
"
50,https://www.youtube.com/watch?v=ABRP_5RYhqU,"

Buckys C++ Programming Tutorials - 12 - Introduction to Classes and Objects
"
51,https://www.youtube.com/watch?v=SWZfFNyUsxc,"

Buckys C++ Programming Tutorials - 2 - Understanding a Simple C++ Program
"
52,https://www.youtube.com/watch?v=_bYFu9mBnr4,"

C++ Programming All-in-One Tutorial Series (10 HOURS!)
"
53,https://www.youtube.com/watch?v=Iuo9PpGE04Y,"

Lecture 1 Introduction to C++ Part 1 hindi
"
54,https://www.youtube.com/watch?v=yGB9jhsEsr8,"

C++ Tutorial For Beginners: Learn C Plus Plus In Hindi
"
55,https://www.youtube.com/watch?v=Gbzu759QIZQ,"

Introduction to C++ (HINDI/URDU)
"
56,https://www.youtube.com/watch?v=j8nAHeVKL08,"

Introduction to C++, Installing VS Code, g++ & more | C++ Tutorials for Beginners #1
"
57,https://www.youtube.com/watch?v=8PopR3x-VMY,"

C Programming For Beginners | Learn C Programming | C Tutorial For Beginners | Edureka
"
58,https://www.youtube.com/watch?v=77v-Poud_io,"

How to Set up Visual Studio Code for C and C++ Programming
"
59,https://www.youtube.com/watch?v=2FYm3GOonhk,"

LEARN OPENCV C++ in 4 HOURS | Including 3x Projects | Computer Vision
"
